group,grid,feature,label,parameters,num_examples,train_examples,val_examples,train_samples,val_samples,batch_size,lr,weight_decay,best_epoch,best_train_loss,best_val_loss,best_val_mae,last_train_loss,last_val_loss,last_val_mae,path
grid_ablation_3epoch,2x2x2,latent_pool,2x2x2 latent_pool,29377,50000,40000,10000,80,20,256,0.001,0.0001,2,0.008435291305184365,0.012755148413032293,0.11655802509784699,0.007318314424157143,0.014755164609849453,0.12174106450080871,/hy-tmp/wan22_adaptive_threshold_feature_ablation_cached_20260616_012409/latent_pool/metrics.json
grid_ablation_3epoch,2x2x2,temporal_mean,2x2x2 temporal_mean,29377,50000,40000,10000,80,20,256,0.001,0.0001,2,0.008699454621970654,0.01225905634239316,0.1201066530406475,0.007530045748502016,0.013371474900469183,0.1246338013112545,/hy-tmp/wan22_adaptive_threshold_feature_ablation_cached_20260616_012409/temporal_mean/metrics.json
grid_ablation_3epoch,2x2x2,temporal_var,2x2x2 temporal_var,29377,50000,40000,10000,80,20,256,0.001,0.0001,1,0.012164874970912933,0.014595278245210648,0.12969519846439362,0.010411268104612827,0.014772552581131458,0.12932286496162415,/hy-tmp/wan22_adaptive_threshold_feature_ablation_cached_20260616_012409/temporal_var/metrics.json
grid_ablation_3epoch,2x2x2,frame_diff_mean,2x2x2 frame_diff_mean,29377,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010407666477560997,0.014568784550577403,0.13295728261470793,0.010407666477560997,0.014568784550577403,0.13295728261470793,/hy-tmp/wan22_adaptive_threshold_feature_ablation_cached_20260616_012409/frame_diff_mean/metrics.json
grid_ablation_3epoch,2x2x2,frame_diff_var,2x2x2 frame_diff_var,29377,50000,40000,10000,80,20,256,0.001,0.0001,2,0.010434134155511856,0.014659403489530086,0.13119774775505066,0.010361296656727791,0.01491148253530264,0.12806647334098817,/hy-tmp/wan22_adaptive_threshold_feature_ablation_cached_20260616_012409/frame_diff_var/metrics.json
grid_ablation_3epoch,2x4x4,latent_pool,2x4x4 latent_pool,53953,50000,40000,10000,80,20,256,0.001,0.0001,1,0.010876657395064831,0.012433933206647634,0.11809348394870758,0.00516197505146265,0.016158403387479484,0.13034018446803092,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_2x4x4/latent_pool/metrics.json
grid_ablation_3epoch,2x4x4,temporal_mean,2x4x4 temporal_mean,53953,50000,40000,10000,80,20,256,0.001,0.0001,1,0.010793213788419962,0.013367813823372125,0.12027716240882874,0.005270880098640919,0.015198511078488082,0.12629147691726686,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_2x4x4/temporal_mean/metrics.json
grid_ablation_3epoch,2x4x4,temporal_var,2x4x4 temporal_var,53953,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010392542931437493,0.014567167246341705,0.12957645814418792,0.010392542931437493,0.014567167246341705,0.12957645814418792,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_2x4x4/temporal_var/metrics.json
grid_ablation_3epoch,2x4x4,frame_diff_mean,2x4x4 frame_diff_mean,53953,50000,40000,10000,80,20,256,0.001,0.0001,2,0.010414415729045869,0.014629853247106075,0.12968307840824128,0.010400414502620697,0.014736289213597775,0.12883613858222961,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_2x4x4/frame_diff_mean/metrics.json
grid_ablation_3epoch,2x4x4,frame_diff_var,2x4x4 frame_diff_var,53953,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010378453823924065,0.014490890745818615,0.1312354599714279,0.010378453823924065,0.014490890745818615,0.1312354599714279,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_2x4x4/frame_diff_var/metrics.json
grid_ablation_3epoch,3x4x4,latent_pool,3x4x4 latent_pool,70337,50000,40000,10000,80,20,256,0.001,0.0001,1,0.011089146687090396,0.013908863650262357,0.1214158164024353,0.0047715365488082175,0.015345652684569359,0.12673132051825522,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_3x4x4/latent_pool/metrics.json
grid_ablation_3epoch,3x4x4,temporal_mean,3x4x4 temporal_mean,70337,50000,40000,10000,80,20,256,0.001,0.0001,1,0.010795885022729636,0.013235593263432384,0.123999724984169,0.005029412396997213,0.015243035073764621,0.1266342298924923,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_3x4x4/temporal_mean/metrics.json
grid_ablation_3epoch,3x4x4,temporal_var,3x4x4 temporal_var,70337,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010430195006728172,0.014717838008701802,0.12833836674690247,0.010430195006728172,0.014717838008701802,0.12833836674690247,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_3x4x4/temporal_var/metrics.json
grid_ablation_3epoch,3x4x4,frame_diff_mean,3x4x4 frame_diff_mean,70337,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010407481321692467,0.01454481383562088,0.12877176508903504,0.010407481321692467,0.01454481383562088,0.12877176508903504,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_3x4x4/frame_diff_mean/metrics.json
grid_ablation_3epoch,3x4x4,frame_diff_var,3x4x4 frame_diff_var,70337,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010369385167956352,0.01451928642988205,0.12859261007308959,0.010369385167956352,0.01451928642988205,0.12859261007308959,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_3x4x4/frame_diff_var/metrics.json
grid_ablation_3epoch,4x4x4,latent_pool,4x4x4 latent_pool,86721,50000,40000,10000,80,20,256,0.001,0.0001,1,0.010893723480403423,0.012732798936963082,0.11865159327983857,0.004843187253177166,0.016058244716376065,0.12829011958241462,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_4x4x4/latent_pool/metrics.json
grid_ablation_3epoch,4x4x4,temporal_mean,4x4x4 temporal_mean,86721,50000,40000,10000,80,20,256,0.001,0.0001,1,0.010683922179043293,0.01422189970985055,0.12217214374542236,0.004979009200632573,0.015308894318342208,0.12781135212182998,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_4x4x4/temporal_mean/metrics.json
grid_ablation_3epoch,4x4x4,temporal_var,4x4x4 temporal_var,86721,50000,40000,10000,80,20,256,0.001,0.0001,3,0.01039982212483883,0.014704550974071025,0.12868383259773256,0.01039982212483883,0.014704550974071025,0.12868383259773256,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_4x4x4/temporal_var/metrics.json
grid_ablation_3epoch,4x4x4,frame_diff_mean,4x4x4 frame_diff_mean,86721,50000,40000,10000,80,20,256,0.001,0.0001,2,0.010454945343732834,0.014745261739194394,0.12939903888702392,0.010447669699788093,0.014963677433133125,0.12943043982982635,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_4x4x4/frame_diff_mean/metrics.json
grid_ablation_3epoch,4x4x4,frame_diff_var,4x4x4 frame_diff_var,86721,50000,40000,10000,80,20,256,0.001,0.0001,2,0.010522130401432515,0.014576995712518692,0.12999957873821258,0.010404566241800785,0.01460680606663227,0.13105305736064912,/hy-tmp/wan22_adaptive_threshold_grid_ablation_20260616_020314/feature_ablation_grid_4x4x4/frame_diff_var/metrics.json
long_30epoch_hdim64,2x2x2,latent_pool,30epoch hdim64 latent_pool,29377,50000,40000,10000,80,20,256,0.001,0.0001,3,0.007494990779459476,0.012612230535596609,0.12138682551383972,0.0034793891593813894,0.023170262155029923,0.15515634224414826,/hy-tmp/wan22_adaptive_threshold_feature_ablation_long_20260616/latent_pool/metrics.json
long_30epoch_hdim64,2x2x2,temporal_mean,30epoch hdim64 temporal_mean,29377,50000,40000,10000,80,20,256,0.001,0.0001,1,0.01124412884414196,0.012571418452262879,0.11945163416862488,0.0034114082925021647,0.019333617731928824,0.14387631845474244,/hy-tmp/wan22_adaptive_threshold_feature_ablation_long_20260616/temporal_mean/metrics.json
long_30epoch_hdim8,2x2x2,latent_pool,30epoch hdim8 latent_pool,1433,50000,40000,10000,80,20,256,0.001,0.0001,4,0.008143614290654659,0.013038545172102749,0.1207661938905716,0.005562488782405854,0.016016759353503586,0.13219942794442177,/hy-tmp/wan22_adaptive_threshold_feature_ablation_hdim8_20260616/latent_pool/metrics.json
long_30epoch_hdim8,2x2x2,temporal_mean,30epoch hdim8 temporal_mean,1433,50000,40000,10000,80,20,256,0.001,0.0001,6,0.008703691504895687,0.013240092040598393,0.12277334520816803,0.005843305170536041,0.019827763340901583,0.14476814987659453,/hy-tmp/wan22_adaptive_threshold_feature_ablation_hdim8_20260616/temporal_mean/metrics.json
long_30epoch_hdim16,2x2x2,latent_pool,30epoch hdim16 latent_pool,3505,50000,40000,10000,80,20,256,0.001,0.0001,4,0.007724732387065888,0.012472539402171969,0.12157104845046997,0.004652830527722835,0.018201250572502613,0.1447310374379158,/hy-tmp/wan22_adaptive_threshold_feature_ablation_hdim16_20260616/latent_pool/metrics.json
long_30epoch_hdim16,2x2x2,temporal_mean,30epoch hdim16 temporal_mean,3505,50000,40000,10000,80,20,256,0.001,0.0001,4,0.00796293956041336,0.01225368892773986,0.11938833252191544,0.0046074934355914594,0.02112002157047391,0.15169802408218383,/hy-tmp/wan22_adaptive_threshold_feature_ablation_hdim16_20260616/temporal_mean/metrics.json
control_3epoch,none,condition_only,condition_only,12865,50000,40000,10000,80,20,256,0.001,0.0001,3,0.010419143079221248,0.014651863437891006,0.12891571826934814,0.010419143079221248,0.014651863437891006,0.12891571826934814,/hy-tmp/wan22_adaptive_threshold_controls_20260616/condition_only/metrics.json
control_3epoch,none,noise_feature,noise_feature,29377,50000,40000,10000,80,20,256,0.001,0.0001,1,0.013043546712398529,0.014648257130384446,0.13117270901203157,0.010429258169233799,0.014706668770313264,0.12954936020374297,/hy-tmp/wan22_adaptive_threshold_controls_20260616/noise_feature/metrics.json
